 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         37944        9510376  [B (java.base@17.0.17)
   2:          3240        1775680  [I (java.base@17.0.17)
   3:           340        1480328  [C (java.base@17.0.17)
   4:         32232         773568  java.lang.String (java.base@17.0.17)
   5:          5987         724264  java.lang.Class (java.base@17.0.17)
   6:          5295         399424  [Ljava.lang.Object; (java.base@17.0.17)
   7:         12121         387872  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.17)
   8:         10572         338304  java.util.HashMap$Node (java.base@17.0.17)
   9:          3029         169624  java.util.LinkedHashMap (java.base@17.0.17)
  10:           672         115944  [Ljava.util.HashMap$Node; (java.base@17.0.17)
  11:           283         105376  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.17)
  12:          3841          92184  jdk.internal.net.http.hpack.QuickHuffman$ImmutableNode (java.net.http@17.0.17)
  13:          1590          76320  java.lang.invoke.MemberName (java.base@17.0.17)
  14:          4513          72208  java.lang.Object (java.base@17.0.17)
  15:          1787          57184  sun.security.util.ObjectIdentifier (java.base@17.0.17)
  16:          1194          47760  java.lang.invoke.MethodType (java.base@17.0.17)
  17:          2913          46608  java.util.jar.Attributes (java.base@17.0.17)
  18:          1141          45640  sun.security.util.DerInputStream (java.base@17.0.17)
  19:          1319          42208  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.17)
  20:           529          38088  java.lang.reflect.Constructor (java.base@17.0.17)
  21:          1141          36512  sun.security.util.DerValue (java.base@17.0.17)
  22:           890          35600  java.math.BigInteger (java.base@17.0.17)
  23:          1055          33760  java.lang.invoke.LambdaForm$Name (java.base@17.0.17)
  24:           676          32448  java.util.HashMap (java.base@17.0.17)
  25:           480          30720  java.lang.Class$ReflectionData (java.base@17.0.17)
  26:          1082          30360  [Ljava.lang.Class; (java.base@17.0.17)
  27:           929          30288  [Ljava.lang.String; (java.base@17.0.17)
  28:           685          27400  java.lang.ref.SoftReference (java.base@17.0.17)
  29:          1141          27384  [Lsun.security.x509.AVA; (java.base@17.0.17)
  30:          1141          27384  sun.security.x509.AVA (java.base@17.0.17)
  31:          1141          27384  sun.security.x509.RDN (java.base@17.0.17)
  32:          1129          27096  java.lang.invoke.ResolvedMethodName (java.base@17.0.17)
  33:           406          25984  java.util.concurrent.ConcurrentHashMap (java.base@17.0.17)
  34:          1059          25416  java.util.ArrayList (java.base@17.0.17)
  35:           322          24472  [Ljava.lang.ref.SoftReference; (java.base@17.0.17)
  36:           480          23040  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.17)
  37:           573          22920  java.util.TreeMap$Entry (java.base@17.0.17)
  38:           355          22720  java.net.URL (java.base@17.0.17)
  39:           160          21760  sun.nio.fs.UnixFileAttributes (java.base@17.0.17)
  40:           485          19400  java.util.LinkedHashMap$Entry (java.base@17.0.17)
  41:           235          19064  [Z (java.base@17.0.17)
  42:           338          18928  sun.security.ssl.CipherSuite (java.base@17.0.17)
  43:           194          17072  java.lang.reflect.Method (java.base@17.0.17)
  44:           160          16640  java.util.jar.JarFile$JarFileEntry (java.base@17.0.17)
  45:           680          16320  java.util.LinkedList$Node (java.base@17.0.17)
  46:           507          16224  java.lang.invoke.DirectMethodHandle (java.base@17.0.17)
  47:           673          16152  java.security.Provider$ServiceKey (java.base@17.0.17)
  48:           331          15888  org.apache.jena.iri.impl.IRIFactoryImpl$WithScheme
  49:           248          15872  java.security.Provider$Service (java.base@17.0.17)
  50:           126          15320  [J (java.base@17.0.17)
  51:           308          14784  sun.security.x509.X500Name (java.base@17.0.17)
  52:           434          13888  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.17)
  53:           165          13200  [Ljava.util.WeakHashMap$Entry; (java.base@17.0.17)
  54:           160          12800  java.util.zip.ZipFile$Source (java.base@17.0.17)
  55:           377          12064  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.17)
  56:           373          11936  java.util.LinkedList (java.base@17.0.17)
  57:           149          11920  sun.security.x509.X509CertImpl (java.base@17.0.17)
  58:           227          11752  [Ljava.lang.invoke.LambdaForm$Name; (java.base@17.0.17)
  59:           288          11520  java.lang.invoke.DirectMethodHandle$Constructor (java.base@17.0.17)
  60:           452          10928  [Ljava.lang.reflect.Constructor; (java.base@17.0.17)
  61:           341          10912  jdk.internal.math.FDBigInteger (java.base@17.0.17)
  62:           447          10728  sun.security.x509.AlgorithmId (java.base@17.0.17)
  63:           222          10656  java.lang.invoke.LambdaForm (java.base@17.0.17)
  64:           662          10592  java.lang.Integer (java.base@17.0.17)
  65:           308          10376  [Lsun.security.x509.RDN; (java.base@17.0.17)
  66:           161          10304  java.util.zip.Inflater (java.base@17.0.17)
  67:            49          10152  [Ljava.lang.invoke.MethodHandle; (java.base@17.0.17)
  68:           411           9864  java.util.Arrays$ArrayList (java.base@17.0.17)
  69:           162           9072  java.io.FileCleanable (java.base@17.0.17)
  70:           160           8960  java.util.jar.JarFile (java.base@17.0.17)
  71:           365           8760  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.17)
  72:           262           8384  sun.security.util.KnownOIDs (java.base@17.0.17)
  73:             8           8368  [Ljava.nio.ByteBuffer; (java.base@17.0.17)
  74:           149           8344  sun.security.x509.X509CertInfo (java.base@17.0.17)
  75:             1           8216  [Lscala.math.BigInt;
  76:           200           8000  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.17)
  77:           165           7920  java.util.WeakHashMap (java.base@17.0.17)
  78:           326           7824  java.time.LocalDateTime (java.base@17.0.17)
  79:           160           7680  jdk.internal.loader.URLClassPath$JarLoader (java.base@17.0.17)
  80:           154           7392  java.util.TreeMap (java.base@17.0.17)
  81:           153           7344  sun.security.util.MemoryCache$SoftCacheEntry (java.base@17.0.17)
  82:           300           7200  java.util.Date (java.base@17.0.17)
  83:           443           7088  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.17)
  84:           290           6960  java.lang.invoke.LambdaForm$NamedFunction (java.base@17.0.17)
  85:            87           6960  java.net.URI (java.base@17.0.17)
  86:           166           6640  java.io.FileDescriptor (java.base@17.0.17)
  87:           205           6560  org.apache.jena.rdf.model.impl.PropertyImpl
  88:           265           6360  java.util.ImmutableCollections$Set12 (java.base@17.0.17)
  89:           260           6240  java.lang.Long (java.base@17.0.17)
  90:           389           6224  org.apache.jena.graph.Node_URI
  91:           189           6048  java.lang.invoke.MethodTypeForm (java.base@17.0.17)
  92:           188           6016  java.lang.ref.ReferenceQueue (java.base@17.0.17)
  93:           150           6000  java.lang.Package$VersionInfo (java.base@17.0.17)
  94:           186           5952  java.lang.Package (java.base@17.0.17)
  95:           146           5840  java.security.cert.TrustAnchor (java.base@17.0.17)
  96:           241           5784  java.security.Provider$UString (java.base@17.0.17)
  97:           114           5472  sun.security.rsa.RSAPublicKeyImpl (java.base@17.0.17)
  98:           166           5312  java.io.File (java.base@17.0.17)
  99:           218           5232  java.util.ImmutableCollections$List12 (java.base@17.0.17)
 100:           161           5152  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@17.0.17)
 101:           160           5120  java.io.RandomAccessFile (java.base@17.0.17)
 102:           160           5120  java.util.zip.ZipFile$CleanableResource (java.base@17.0.17)
 103:           309           4944  java.lang.Character$UnicodeBlock (java.base@17.0.17)
 104:           154           4928  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@17.0.17)
 105:           153           4896  java.util.Collections$SynchronizedMap (java.base@17.0.17)
 106:            13           4784  java.lang.Thread (java.base@17.0.17)
 107:           148           4736  sun.security.x509.BasicConstraintsExtension (java.base@17.0.17)
 108:           146           4672  sun.security.x509.SubjectKeyIdentifierExtension (java.base@17.0.17)
 109:           143           4576  sun.security.x509.KeyUsageExtension (java.base@17.0.17)
 110:           186           4464  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@17.0.17)
 111:            79           4424  java.lang.Module (java.base@17.0.17)
 112:            55           4400  org.apache.jena.iri.impl.SchemeSpecification
 113:           134           4288  java.lang.module.ModuleDescriptor$Requires (java.base@17.0.17)
